AF3_delta	AF3_theta	AF3_alpha	AF3_beta	AF3_gamma	AF4_delta	AF4_theta	AF4_alpha	AF4_beta	AF4_gamma	F3_delta	F3_theta	F3_alpha	F3_beta	F3_gamma	F4_delta	F4_theta	F4_alpha	F4_beta	F4_gamma	F7_delta	F7_theta	F7_alpha	F7_beta	F7_gamma	F8_delta	F8_theta	F8_alpha	F8_beta	F8_gamma	FC5_delta	FC5_theta	FC5_alpha	FC5_beta	FC5_gamma	FC6_delta	FC6_theta	FC6_alpha	FC6_beta	FC6_gamma	O1_delta	O1_theta	O1_alpha	O1_beta	O1_gamma	O2_delta	O2_theta	O2_alpha	O2_beta	O2_gamma	P7_delta	P7_theta	P7_alpha	P7_beta	P7_gamma	P8_delta	P8_theta	P8_alpha	P8_beta	P8_gamma	T7_delta	T7_theta	T7_alpha	T7_beta	T7_gamma	T8_delta	T8_theta	T8_alpha	T8_beta	T8_gamma
25.075158032046453	31.246494874599232	37.99216309523969	82.13052547534694	63.43376789368071	19.451887532317983	32.6419931654667	36.43133168496699	89.45442721529437	66.18689231697432	22.2876521372825	31.777635757328117	32.04505400694751	79.86830381870709	57.99457013707991	20.81138402941451	29.710821963318427	29.84186135169424	84.65876146642171	56.89253280793662	26.00519743754273	31.39268206226727	41.05192003947779	84.21219988967978	60.608769919222325	29.533232889383157	35.38359513067152	45.115953272834034	116.40624895834503	76.5952298822109	27.854949515580376	34.22046513557096	36.82218633761567	70.63878582472016	50.449515417609625	28.559739999432594	32.286943470553034	40.27420013882046	104.22774283104528	69.72531492560368	19.562205599263834	27.14600281782733	30.332804211933926	87.21278303375865	45.86880197312069	13.512228801802836	25.429463753518064	28.537536157875287	98.6730930630141	57.20097226980859	20.262386399273623	24.584131582428085	32.474948742855695	71.38053519385971	44.27987476848167	28.04904713319421	33.30980331483839	39.97731541944705	110.261766627431	70.91257821540653	23.07106461122246	24.8132063119781	32.89067705587917	73.09162520099473	42.46238059162294	27.993970353448578	32.258416137812766	36.8267599488178	108.45038581847028	70.04720091316872
25.578905091294505	22.566315068142664	38.73523160783701	85.87903763075934	49.82936175728946	26.138685034766837	28.92837567914265	46.63567798661519	93.79537722822386	57.74593164514334	26.046254949883448	23.99868594739835	39.41683512385024	92.22044725018594	53.04000260814887	23.47234236431943	26.241388774182866	43.43197541589303	85.8610098429114	53.8065851706952	22.472632019561466	27.466664976836086	30.60697333748161	78.24914042669448	45.75405860016965	23.27328330658073	35.09059228277086	53.43021571449443	109.21529456705306	62.975449429924105	24.458597474539218	25.02307232147531	38.49343527644518	74.31179603154408	36.764014857580165	23.149725594199815	29.93696072846435	48.45306904035733	98.8508346670021	57.263564220326515	24.144076454652495	23.931554759704365	37.02139712408428	80.61779613555115	48.802772425166275	24.46526762203218	27.6315933288379	43.084497126826975	96.95757838538954	57.40799480002077	24.461937321855892	22.878314530049256	31.033540303149362	71.38256876990287	36.66221075242278	25.134638368202342	31.14081294955765	49.805914674533334	105.83836311755249	64.92532432335366	23.099000135903665	25.565070380196904	30.879501037911623	73.51165114851196	51.85320359110644	24.363121388904812	29.78271794890052	50.38958183036305	99.93690282750805	60.6183652114401
21.553720964934676	34.635520892137905	38.94281069379373	99.28258571615991	62.12711054146882	24.07379088312085	34.52418840807557	43.676784225852295	106.1180078731289	64.95670461438414	20.517971132871487	30.89662676345599	36.53891328928305	86.47127668106813	53.95731362491765	23.350940292162825	30.081774563285464	32.98152974671771	85.97372010413257	52.1928538408253	22.758208398867687	34.39573664269538	41.807730185399066	101.30976766499575	68.7197422746737	27.591367945172056	34.63161296016657	52.93466549591301	120.78532093627295	67.18752801570551	27.294317934059457	31.521086893747558	43.86767929113155	90.5534969081152	41.146811287112726	23.16060424757711	30.721413266177272	46.99514361345772	105.89039111031198	61.16551078662638	21.18704796024867	24.374988883964917	29.458688408630987	78.62671267363146	55.09432996976646	23.15361264655875	26.313364482463182	27.319310222394353	89.44296601025107	59.31604250098434	20.899241812196692	20.051753370928665	27.25188845421046	60.63351232960193	46.28554051095111	24.531778987182026	29.49985067676935	43.96746535317501	100.83295066740271	68.04863460957837	21.897502497842943	22.079486026537275	35.512110566299214	85.28397436550142	47.066888683616824	24.507200684647472	32.7562296325775	48.20956276862703	103.73735544709828	66.57768466646324
23.35297532218508	26.3883926653969	36.679604055307294	104.51573122954541	72.8319748121903	25.084062283588327	30.37269092657711	44.49686894312461	112.15026612096638	72.4603602658235	23.591940621248753	22.318883093040466	40.88534892241368	85.50283135074608	68.06001232801734	22.270353697740376	26.724085830346468	42.311484148433124	89.67899255337399	56.757275111858654	19.997859825460345	25.447299950185535	36.92119507081242	106.3180198376592	76.15076647546664	25.37276098224953	36.181775343391614	51.56554913053856	123.20170589258426	61.5612831231328	30.14406052970956	34.04305173677023	44.84480130501006	94.21510895361415	65.1316383142046	25.87984157603026	32.94120766530414	48.096913658856394	111.09946982325854	57.10138148740577	24.481055154901007	21.584250494077708	33.149285570429655	71.20295073576081	55.176912704264566	25.743941470356543	27.697261131171768	43.814607130710485	83.50097042501179	57.166649728308194	18.473811076020674	16.21782693225991	30.849768110962295	67.89816837117371	51.438741448786296	29.096125290304457	33.162545735341816	47.61675331769632	106.37181540860335	68.6035490339408	19.321069655548662	23.270787497251177	38.85389119948725	75.73017064215398	44.6488282610509	24.204176505101593	32.25874670969336	48.461765372503585	104.2702726816269	64.4985344016021
18.699832997137428	25.07427230123068	41.699772761197366	102.51232103073693	64.1588408356998	22.019402415139503	29.99237329313393	34.786270159658365	104.93393708464632	60.46488784373001	23.576285439402586	26.248718521325543	32.63425912122957	97.12463413166675	58.154457226774824	21.28613350956523	26.65336661736834	35.4323282184269	86.01513546506344	55.039669500875654	22.10822241941436	26.710070855667727	42.11822321183556	101.55311003366232	66.50613413692109	24.820975035642945	33.767314657433836	48.02207526538441	119.4791363020697	66.24834549947047	27.394014685604105	29.35005840631284	37.43038494580882	90.78832254807894	52.46008209498942	25.22267581250997	29.680746921429108	44.56759982708485	107.65316924509582	61.372308490222245	22.91813585581263	28.016088303821967	39.39164919022893	76.68105875846233	39.11453574307433	28.73102956247893	28.131543579968124	42.43857448552059	89.91851800788277	51.09725250606765	30.443707091167752	37.52033629997568	50.70140658534745	105.21006937222793	65.15582535437639	26.399243299139783	33.896924300523715	49.803138236434094	106.30443740736551	65.18296596559844	22.416371613056405	23.522924167221223	33.594856420579475	80.20523208533524	45.66446920074208	25.641593069383344	30.541661210591116	48.29414983177767	109.93562077959618	67.28562215493072
26.146669940347667	38.77385248604183	51.72573517445727	132.06564149961758	79.71094381992376	24.583328551036338	38.7267465629763	50.621107382793674	120.90311977439255	78.58980021294272	20.015346632293507	34.24483059034057	43.90355143695601	112.46710375448072	68.74587245070329	23.612858573798643	31.749093746536808	40.57409900379165	88.97786850340253	62.31886588624238	26.23871016093113	38.17866127346659	49.862095708242514	135.663469521108	80.64978953329015	26.356917007088985	41.629202693583736	51.09299905022165	123.75756337824266	77.74113549502528	20.46591649449828	34.51596547180676	43.035557590902094	109.52491997755762	61.354776112277065	24.603655606548934	36.74565799540938	45.2104312605733	104.8944571896813	68.1888259554187	20.83637580149332	22.919274301412013	29.000356934526103	77.80065099039182	60.7925854721826	15.889666318225544	27.536840916109007	36.64305760914999	95.02406389351215	65.42216217242847	23.053717305612643	18.394725843198025	15.39243228582978	69.68348621243416	53.33176483695662	17.960100216288872	36.132227700254006	44.2632914391563	102.74106289791722	63.03106220543395	18.954395620119673	30.271841359961698	32.024061223631215	80.59157462748252	52.279582282099454	22.4832599933153	36.0894193266186	45.485037909918134	110.44302230877614	63.40099303869461
21.475920739183927	28.860215650901278	34.0057141602561	97.81773941756566	52.57315513310603	24.072509254817852	28.248856529486023	39.81543112650208	99.74481181623713	61.77485490177336	25.449859438244317	25.37307666492089	36.32761334253451	88.81634868115444	47.05973803547386	18.883843937392562	21.91577232548736	33.517641499935046	80.44652774348702	45.34513428202725	22.855727131231326	28.002706358571164	28.63999991442379	92.99513850353276	54.29705816685607	25.81742496650427	32.59821861969398	45.856201433701145	107.27525146901833	62.12380879718011	29.380584660349143	36.039981267929	36.053756319082076	94.49362131483083	45.73268804288177	20.27152803734645	26.584487729001218	42.2456861389184	94.5896142100796	58.528406123516355	23.124264705916392	30.459224799123753	30.317246086539527	72.34996139420527	35.764114179563286	22.80557127725416	29.79238181940817	35.402008624696826	88.85258604714228	52.01012720036115	24.5572300309892	27.925416752739757	36.22765321481313	79.6633243754165	42.73623255607042	37.84147752843595	40.01982009466609	49.71573678717498	102.58511726531904	62.31284759768063	24.6124445465641	29.910272050064656	34.263016683317346	79.23615487483532	41.43117719527265	24.846699287179334	27.298573791385504	41.05034070535747	96.74954858054508	56.01173327486164
24.210011467236107	35.00871461262561	39.69053128808561	99.30782787761221	58.020845941345875	25.714199983385047	33.391975321526765	41.981182266011025	106.05682244094034	58.86204418584984	23.24969439043418	29.662645980958043	36.371531975157225	92.8152748357027	57.53766226133349	25.320233702506222	26.00506613511924	36.32293719114115	90.44279482069274	51.69990060428232	23.553771043295818	37.55896003600675	43.49879506900441	93.28297662908355	65.32596614648135	31.76068241847606	40.373745712117824	63.78819188476735	134.56017830406714	85.89301462650752	28.933429192717973	38.1260585285386	41.79496674563813	87.49063994488272	65.61779761039121	27.393638895869657	32.151345890310196	46.483827224454686	105.18935435597088	58.66856223970898	23.998051213740325	27.494760809499265	34.420017117435485	78.64317680949289	52.897435801293	26.088012372091008	31.06138149618103	41.43944734612126	82.04359864379899	54.74406556501339	30.4280389052767	36.4677027769597	49.60222158734893	107.18823333334119	71.64851486552995	38.781728957493726	37.041268404957194	52.88123245290096	117.94013406796165	68.15460099594304	26.19936874144838	29.3088681144966	40.93976163306505	85.08673060606822	49.98998623368968	29.191093920033605	36.19498650810101	52.85132871724489	116.93552658270897	70.70747354765737
21.922145602007788	17.308440965173904	21.3905778476069	73.59315965717806	51.46513869217618	26.665846347882493	29.237321300878584	36.496582010097285	77.29836832210334	56.97292555504609	23.350311951193575	23.355799465838494	33.37842697403521	78.45739606571891	59.59905178118582	24.40012751939623	28.21778553112757	31.891570072484804	66.56516805061861	49.731800215340215	24.397845967072403	29.568696943404913	32.8919389806722	80.87148697536209	44.52379145382903	30.1895233419383	33.74864951927868	45.58797531078308	104.29617588187665	67.85066482334554	30.831781226873595	33.57863594192075	39.088885147896114	79.06312950605535	48.25694696499726	27.653612176160998	30.577365677553637	41.84934745117336	92.84025941530498	59.0774133076476	20.993644597737266	27.01306203311487	29.40919979794967	77.12446563281773	48.37828073349499	22.898774027534092	28.89361824779286	28.752376811210997	88.94945501929028	56.175393047980954	23.501182346032035	25.10948836087954	25.509973739762202	68.3986113375799	33.34779732534567	28.952488335827898	32.715678288097294	36.39088586086363	105.20290753187467	64.37112934453106	21.781174493003505	24.72384881892632	29.47112746124213	76.10047798993574	38.16004805631947	26.803724164793387	33.16647065845996	44.04303887838368	100.92579034892579	60.138886731995235
25.81103191330913	25.864159669651478	46.051902556435294	113.18060700086325	64.83708692729212	18.980477466217422	27.15578736752598	42.986924823553124	110.94171329176349	60.83278249603207	27.29867711826129	25.939626627702815	38.494992150577936	87.45853971354884	56.2782904154734	22.56419480639951	24.869433969913107	31.220843696889787	87.28098920667686	52.39100439347244	28.652202310317605	28.678835511450487	45.95864808406576	118.64857206761862	71.07866395672114	27.353262191351984	32.922305496971205	48.8510561803186	105.04871304552582	68.62979782092859	30.813001997379445	28.411296477963397	41.36262952834878	86.6351705258678	53.203660772193594	27.66419952801362	30.40514607740189	37.26593646722398	98.97188769573799	60.60622730962765	24.778871181138612	22.448534184043623	36.64710584491148	82.33136816438108	43.57088682840994	24.124381616695704	24.77702742850046	39.952111372786376	85.15513255895809	53.478302434727425	22.386593388669365	26.41235893770848	35.962562484224044	76.99452554023398	39.968273289302374	38.136899047491745	47.21754410532769	54.220227959860274	128.70980666880186	85.26504483016241	21.109440336901958	23.83731142319296	33.464504527342065	91.75764527642482	39.66664646921795	27.070644365236447	31.52577749910231	33.35851286202243	93.16074048082598	66.1297037970455
26.335749534469876	32.942686935227655	43.77009980983173	104.53863424074851	65.97564293184995	19.047771413056033	28.58659771582788	45.41894117211448	104.64097719058243	68.2514159380437	23.03903574462334	28.0009304558384	37.65493995719198	86.92321907403165	59.22725943615474	21.990258343524477	24.870342465255323	36.954590486449064	85.2737564088678	56.33062105877036	30.090491373336747	35.49343274762179	42.83322061331754	110.98847558316776	67.8251081784926	25.580078949565173	36.3676724172972	48.97927979229993	115.1799060896248	73.98190917862871	25.699709345938842	30.53611303071616	38.55348887759587	89.99060602683228	55.577857859520904	24.635628564188217	32.8940045997895	42.20083575940177	100.57218790072847	65.4484926989275	18.963405100745895	17.212113602993124	31.408625400806514	90.14670332091198	40.24031981358336	24.73960635852687	25.95736552315623	34.25515324871037	96.00137699031258	54.9347551405122	19.069350911939605	19.468468935998054	26.243209160659863	71.6627229654727	32.70066683560301	29.354440067629525	32.757277756823186	46.25874787369394	104.6393527966121	63.88255941200317	21.72083528992716	24.556296373421933	27.638042411295146	85.26937030285345	40.48728969344358	23.504304322163986	35.18785754040264	41.134453411205484	98.74317710284106	64.58987449178049
26.61630891683525	25.84587220530277	40.864538725764035	91.71604195828228	68.3874700501541	28.892021543988122	27.54753520395616	38.789290082314324	95.33131956566972	67.8665225192491	26.488821527982026	27.167887443893655	38.02227484634052	78.55771322521898	60.488564841574345	23.793982708680637	26.26634800593368	28.06043479374982	70.460515270645	55.6553197334531	25.709317043006607	32.15333415784772	44.64809505643648	99.73623344452234	69.3751134983571	29.534646795326516	35.080529222714205	37.830130469263295	101.561267464597	63.78543792761994	30.020451712564192	35.13510628703629	41.216754515898536	71.3462955140978	51.031760377016795	26.876709044942217	32.57166616671385	38.97288152775172	93.06627362730833	59.121619422733076	19.81926283432551	29.060532359875715	33.34563251004489	76.91829520036661	54.00530053371561	25.066540379494537	30.743200242487266	37.70508925313353	90.75148336370795	59.25404515714727	14.948053444337017	27.918467131397755	28.961424752352755	72.29567647546216	47.98908488602953	29.19025238596842	32.82930778860501	41.79928490869044	104.46484260853173	64.99521012205217	20.59670456019594	23.709652879645475	34.969060332818486	72.90458169924699	46.20778969933842	27.950921690294827	33.861123484784855	40.824131082799965	101.25183374500682	57.956450838688994
25.442691398393904	30.714794488199953	42.8081360868888	118.10675303009715	66.72617027489977	24.67530744572006	31.990375281425997	44.6631122596761	118.62951170149935	69.73988127733945	24.02911858060446	29.26163755891662	37.44473324142651	107.32334451819756	58.02598914693071	24.29693708384771	29.066891075350448	38.514677161490944	95.71956424993333	57.70949396080121	25.86574861631906	27.097551172482667	36.9316758502779	113.8561693580262	66.37724819683017	24.801605864423596	39.39717467087079	50.58698236902977	128.8049003214574	75.80394213480064	25.975171044486764	32.52384753676163	34.9941312415551	95.89904577415982	56.52116072759341	20.912964690047218	32.628982462230496	43.90243573821594	108.07135173030042	67.29756578277286	21.588027738007668	27.92557142839086	32.7503691362459	77.34485030572965	49.48575089829614	23.935844080678066	30.006944537081054	37.29768170892188	91.12237923567615	58.958313710023084	22.945801182347864	26.475633571328274	34.2545637072484	65.58886086551097	38.89460037787504	15.707045484967084	34.50124025276336	43.738466917207205	101.00205252805695	59.25468781836815	22.105254378234974	27.936968003054005	31.965480126924998	82.94152143500945	41.96391986530544	24.756204661614742	34.69010726766562	43.24273216172616	98.62812563682584	56.1151871566632
